IC_prev_avg_max,IC_prev_avg_max_bio,IC_ex_max,IC_ex_max_bio
62.2833333333333,58.55,0.0,0.0
62.3333333333333,58.65,0.0,0.0
62.3333333333333,58.6666666666667,0.0,0.0
62.3666666666667,58.7,0.0,0.0
62.4,58.8,0.0,0.0
62.4333333333333,58.85,0.0,0.0
62.4833333333333,58.9166666666667,0.0,0.0
62.6,58.9166666666667,0.0,0.0
62.7166666666667,59.0166666666667,0.0,0.0
62.8166666666667,59.0333333333333,0.0,0.0
62.85,59.1666666666667,0.0,0.0
62.8666666666667,59.1666666666667,0.0,0.0
63.0,59.2,0.0,0.0
63.0,59.2166666666667,0.0,0.0
63.0333333333333,59.2666666666667,0.0,0.0
63.05,59.2666666666667,0.0,0.0
63.05,59.5166666666666,0.0,0.0
63.05,59.6166666666667,0.0,0.0
63.0833333333333,59.6666666666667,0.0,0.0
